Entity,Code,Year,Fossil fuels per capita (kWh),Nuclear per capita (kWh - equivalent),Renewables per capita (kWh - equivalent)
Africa,,1965,2100.505,0,127.91771
Africa,,1966,2136.364,0,139.12254
Africa,,1967,2099.7725,0,141.5766
Africa,,1968,2145.9302,0,161.39375
Africa,,1969,2126.871,0,183.53688
Africa,,1970,2220.0889,0,223.56758
Africa,,1971,2334.7239,0,206.47203
Africa,,1972,2389.0298,0,229.00676
Africa,,1973,2525.8975,0,235.90248
Africa,,1974,2560.9014,0,261.10275
Africa,,1975,2640.0945,0,268.4201
Africa,,1976,2780.9941,0,289.09085
Africa,,1977,2841.5732,0,308.83777
Africa,,1978,2877.135,0,302.6684
Africa,,1979,3049.865,0,314.55762
Africa,,1980,3215.9644,0,298.0381
Africa,,1981,3530.2383,0,300.8455
Africa,,1982,3671.4834,0,292.26404
Africa,,1983,3710.4407,0,256.08322
Africa,,1984,3711.4023,20.617537,244.92314
Africa,,1985,3731.3445,27.141745,264.69916
Africa,,1986,3678.9912,43.69594,268.0142
Africa,,1987,3724.4321,29.756077,250.02135
Africa,,1988,3855.0076,49.25306,265.27042
Africa,,1989,3742.3813,50.70058,270.88193
Africa,,1990,3780.0737,37.56778,269.1465
Africa,,1991,3659.7837,39.610104,277.6371
Africa,,1992,3637.727,39.22249,258.54077
Africa,,1993,3570.4348,29.87225,247.48167
Africa,,1994,3596.0364,38.946674,244.78401
Africa,,1995,3644.6467,44.270798,248.2899
Africa,,1996,3639.0806,44.982918,253.30066
Africa,,1997,3622.4785,47.142513,253.66914
Africa,,1998,3579.603,49.48407,259.61603
Africa,,1999,3597.7688,45.582775,268.28467
Africa,,2000,3576.4358,45.077187,281.10306
Africa,,2001,3614.2861,35.996555,293.2505
Africa,,2002,3558.4102,39.025276,298.92673
Africa,,2003,3661.0227,39.93934,283.07382
Africa,,2004,3839.8137,40.8469,291.1984
Africa,,2005,3759.4473,33.44014,286.73642
Africa,,2006,3734.9402,28.763487,290.31552
Africa,,2007,3781.9631,31.447468,289.55646
Africa,,2008,3915.5906,34.9962,286.503
Africa,,2009,3879.8503,33.377228,285.99698
Africa,,2010,3885.9934,34.14246,300.92087
Africa,,2011,3816.7524,31.545996,301.23102
Africa,,2012,3882.7617,30.71601,294.43835
Africa,,2013,3880.7314,32.355755,303.13077
Africa,,2014,3872.8333,30.641243,317.21323
Africa,,2015,3857.8232,26.327713,316.1801
Africa,,2016,3866.2666,31.328247,311.66516
Africa,,2017,3889.5032,28.690405,324.20157
Africa,,2018,3877.6396,22.697775,339.4157
Africa,,2019,3847.18,25.247028,353.0985
Africa,,2020,3521.9883,18.341825,368.0048
Africa,,2021,3735.765,22.259695,378.59207
Africa,,2022,3682.0527,17.710443,379.27673
Africa,,2023,3564.061,15.194586,390.02872
Algeria,DZA,1965,1910.1324,0,95.53111
Algeria,DZA,1966,2281.9224,0,83.2235
Algeria,DZA,1967,2096.2073,0,94.0028
Algeria,DZA,1968,2174.2285,0,126.20633
Algeria,DZA,1969,2406.913,0,79.1247
Algeria,DZA,1970,2540.1611,0,124.31607
Algeria,DZA,1971,2746.7256,0,69.15576
Algeria,DZA,1972,2990.643,0,101.36669
Algeria,DZA,1973,3450.926,0,150.38446
Algeria,DZA,1974,3790.4724,0,96.981804
Algeria,DZA,1975,4413.426,0,61.67956
Algeria,DZA,1976,4906.019,0,69.71108
Algeria,DZA,1977,5218.6387,0,46.42354
Algeria,DZA,1978,6387.1426,0,41.92492
Algeria,DZA,1979,8129.0176,0,47.365265
Algeria,DZA,1980,9412.426,0,40.55343
Algeria,DZA,1981,11064.026,0,55.92673
Algeria,DZA,1982,12334.725,0,70.81954
Algeria,DZA,1983,13067.9,0,33.59872
Algeria,DZA,1984,12099.901,0,62.474915
Algeria,DZA,1985,11764.669,0,86.30655
Algeria,DZA,1986,12094.42,0,32.306145
Algeria,DZA,1987,12027.957,0,62.55964
Algeria,DZA,1988,12576.017,0,22.321026
Algeria,DZA,1989,11908.628,0,26.849836
Algeria,DZA,1990,12327.519,0,15.643562
Algeria,DZA,1991,11908.999,0,33.15225
Algeria,DZA,1992,11949.858,0,21.999186
Algeria,DZA,1993,10855.729,0,38.159126
Algeria,DZA,1994,10789.64,0,17.570253
Algeria,DZA,1995,10975.977,0,20.039974
Algeria,DZA,1996,10678.949,0,13.772591
Algeria,DZA,1997,10097.629,0,7.5238814
Algeria,DZA,1998,10282.93,0,21.245111
Algeria,DZA,1999,10242.966,0,19.78077
Algeria,DZA,2000,9741.336,0,5.1886096
Algeria,DZA,2001,9955.143,0,6.4968305
Algeria,DZA,2002,10175.09,0,5.2608757
Algeria,DZA,2003,10486.486,0,23.974781
Algeria,DZA,2004,10736.774,0,22.248251
Algeria,DZA,2005,11065.476,0,48.24676
Algeria,DZA,2006,11323.462,0,18.518274
Algeria,DZA,2007,11740.897,0,18.8043
Algeria,DZA,2008,12229.293,0,23.004215
Algeria,DZA,2009,12725.983,0,27.13679
Algeria,DZA,2010,12229.061,0,14.096054
Algeria,DZA,2011,12680.638,0,29.90281
Algeria,DZA,2012,13594.317,0,30.592276
Algeria,DZA,2013,14121.583,0,9.151515
Algeria,DZA,2014,15090.883,0,17.753038
Algeria,DZA,2015,15601.193,0,15.118675
Algeria,DZA,2016,15272.842,0,22.301409
Algeria,DZA,2017,15126.544,0,37.457855
Algeria,DZA,2018,15925.02,0,46.06531
Algeria,DZA,2019,16211.092,0,47.960022
Algeria,DZA,2020,14888.941,0,44.86581
Algeria,DZA,2021,15977.151,0,40.501717
Algeria,DZA,2022,16310.9795,0,39.539673
Algeria,DZA,2023,15416.595,0,41.794765
Angola,AGO,1965,,0,
Angola,AGO,1966,,0,
Angola,AGO,1967,,0,
Angola,AGO,1968,,0,
Angola,AGO,1969,,0,
Angola,AGO,1970,,0,
Angola,AGO,1971,,0,
Angola,AGO,1972,,0,
Angola,AGO,1973,,0,
Angola,AGO,1974,,0,
Angola,AGO,1975,,0,
Angola,AGO,1976,,0,
Angola,AGO,1977,,0,
Angola,AGO,1978,,0,
Angola,AGO,1979,,0,
Angola,AGO,1980,,0,
Angola,AGO,1981,,0,
Angola,AGO,1982,,0,
Angola,AGO,1983,,0,
Angola,AGO,1984,,0,
Angola,AGO,1985,,0,
Angola,AGO,1986,,0,
Angola,AGO,1987,,0,
Angola,AGO,1988,,0,
Angola,AGO,1989,,0,
Angola,AGO,1990,,0,
Angola,AGO,1991,,0,
Angola,AGO,1992,,0,
Angola,AGO,1993,,0,
Angola,AGO,1994,,0,
Angola,AGO,1995,,0,
Angola,AGO,1996,,0,
Angola,AGO,1997,,0,
Angola,AGO,1998,,0,
Angola,AGO,1999,,0,
Angola,AGO,2000,,0,
Angola,AGO,2001,,0,
Angola,AGO,2002,,0,
Angola,AGO,2003,,0,
Angola,AGO,2004,,0,
Angola,AGO,2005,,0,
Angola,AGO,2006,,0,
Angola,AGO,2007,,0,
Angola,AGO,2008,,0,
Angola,AGO,2009,,0,
Angola,AGO,2010,,0,
Angola,AGO,2011,,0,
Angola,AGO,2012,,0,
Angola,AGO,2013,,0,
Angola,AGO,2014,,0,
Angola,AGO,2015,,0,
Angola,AGO,2016,,0,
Angola,AGO,2017,,0,
Angola,AGO,2018,,0,
Angola,AGO,2019,,0,
Angola,AGO,2020,,0,
Angola,AGO,2021,,0,
Angola,AGO,2022,,0,
Angola,AGO,2023,,0,
Argentina,ARG,1965,14732.473,0,164.26549
Argentina,ARG,1966,14975.831,0,163.79047
Argentina,ARG,1967,15172.235,0,165.11125
Argentina,ARG,1968,15420.595,0,191.60696
Argentina,ARG,1969,15718.227,0,169.22238
Argentina,ARG,1970,14625.065,0,200.6452
Argentina,ARG,1971,15273.73,0,196.51488
Argentina,ARG,1972,15226.303,0,190.3889
